schoolID,name_full,city,state,country
abilchrist,Abilene Christian University,Abilene,TX,USA
adelphi,Adelphi University,Garden City,NY,USA
adrianmi,Adrian College,Adrian,MI,USA
alabamaam,Alabama A&M University,Normal,AL,USA
alabamast,Alabama State University,Montgomery,AL,USA
albanyst,Albany State University,Albany,GA,USA
albertsnid,Albertson College,Caldwell,ID,USA
albionmi,Albion College,Albion,MI,USA
albrightpa,Albright College,Reading,PA,USA
alcornst,Alcorn State University,Lorman,MS,USA
caallan,Allan Hancock College,Santa Maria,CA,USA
allegheny,Allegheny College,Meadville,PA,USA
almami,Alma College,Alma,MI,USA
alverniapa,Alvernia College,Reading,PA,USA
txalvin,Alvin Community College,Alvin,TX,USA
amerintl,American International University,Springfield,MA,USA
caameri,American River College,Sacramento,CA,USA
american,American University,Washington,DC,USA
amherstma,Amherst College,Amherst,MA,USA
andersonsc,Anderson College,Anderson,SC,USA
inander,Anderson University,Anderson,IN,USA
txangjc,Angelina College,Lufkin,TX,USA
txangel,Angelo State University,San Angelo,TX,USA
mdaacco,Anne Arundel Community College,Arnold,MD,USA
caantel,Antelope Valley College,Lancaster,CA,USA
appalst,Appalachian State University,Boone,NC,USA
aquinasmi,Aquinas College,Grand Rapids,MI,USA
arizonast,Arizona State University,Tempe,AZ,USA
azweste,Arizona Western College,Yuma,AZ,USA
arkansasst,Arkansas State University,Jonesboro,AR,USA
arktech,Arkansas Tech University,Russellville,AR,USA
armstratl,Armstrong Atlantic State University,Savannah,GA,USA
ashland,Ashland University,Ashland,OH,USA
maassum,Assumption College,Worcester,MA,USA
athensst,Athens State University,Athens,AL,USA
auburn,Auburn University,Auburn,AL,USA
auburnmont,Auburn University at Montgomery,Montgomery,AL,USA
augsburgmn,Augsburg College,Minneapolis,MN,USA
ilaugus,Augustana College,Rock Island,IL,USA
austincol,Austin College,Sherman,TX,USA
txausti,Austin Community College,Austin,TX,USA
austinpeay,Austin Peay State University,Clarksville,TN,USA
azusapac,Azusa Pacific University,Azusa,CA,USA
baconeok,Bacone College,Muskogee,OK,USA
bakerks,Baker University,Baldwin City,KS,USA
cabakjc,Bakersfield College,Bakersfield,CA,USA
baldwalloh,Baldwin-Wallace College,Berea,OH,USA
ballst,Ball State University,Muncie,IN,USA
mdbalcc,Baltimore City Community College,Baltimore,MD,USA
flbarry,Barry University,Miami Shores,FL,USA
cabarst,Barstow Community College,Barstow,CA,USA
bartonnc,Barton College,Wilson,NC,USA
ksbarto,Barton County Community College,Great Bend,KS,USA
batesme,Bates College,Lewiston,ME,USA
baylor,Baylor University,Waco,TX,USA
kybella,Bellarmine College,Louisville,KY,USA
