playerID,awardID,yearID,lgID,tie,notes
mccarjo99,TSN Manager of the Year,1936,ML,,
mckecbi01,TSN Manager of the Year,1937,ML,,
mccarjo99,TSN Manager of the Year,1938,ML,,
durocle01,TSN Manager of the Year,1939,ML,,
mckecbi01,TSN Manager of the Year,1940,ML,,
southbi01,TSN Manager of the Year,1941,ML,,
southbi01,TSN Manager of the Year,1942,ML,,
mccarjo99,TSN Manager of the Year,1943,ML,,
sewellu01,TSN Manager of the Year,1944,ML,,
bluegos01,TSN Manager of the Year,1945,ML,,
dyered01,TSN Manager of the Year,1946,ML,,
harribu01,TSN Manager of the Year,1947,ML,,
meyerbi01,TSN Manager of the Year,1948,ML,,
stengca01,TSN Manager of the Year,1949,ML,,
rolfere01,TSN Manager of the Year,1950,ML,,
durocle01,TSN Manager of the Year,1951,ML,,
stanked01,TSN Manager of the Year,1952,ML,,
stengca01,TSN Manager of the Year,1953,ML,,
durocle01,TSN Manager of the Year,1954,ML,,
alstowa01,TSN Manager of the Year,1955,ML,,
tebbebi01,TSN Manager of the Year,1956,ML,,
hutchfr01,TSN Manager of the Year,1957,ML,,
stengca01,TSN Manager of the Year,1958,ML,,
alstowa01,TSN Manager of the Year,1959,ML,,
murtada01,TSN Manager of the Year,1960,ML,,
houkra01,TSN Manager of the Year,1961,ML,,
rignebi01,TSN Manager of the Year,1962,ML,,
alstowa01,TSN Manager of the Year,1963,ML,,
keanejo99,TSN Manager of the Year,1964,ML,,
melesa01,TSN Manager of the Year,1965,ML,,
bauerha01,TSN Manager of the Year,1966,ML,,
willidi02,TSN Manager of the Year,1967,ML,,
smithma01,TSN Manager of the Year,1968,ML,,
hodgegi01,TSN Manager of the Year,1969,ML,,
murtada01,TSN Manager of the Year,1970,ML,,
foxch01,TSN Manager of the Year,1971,ML,,
tannech01,TSN Manager of the Year,1972,ML,,
mauchge01,TSN Manager of the Year,1973,ML,,
virdobi01,TSN Manager of the Year,1974,ML,,
johnsda01,TSN Manager of the Year,1975,ML,,
ozarkda99,TSN Manager of the Year,1976,ML,,
weaveea99,TSN Manager of the Year,1977,ML,,
bambege01,TSN Manager of the Year,1978,ML,,
weaveea99,TSN Manager of the Year,1979,ML,,
virdobi01,TSN Manager of the Year,1980,ML,,
martibi02,TSN Manager of the Year,1981,ML,,
herzowh01,TSN Manager of the Year,1982,ML,,
larusto01,BBWAA Manager of the Year,1983,AL,,
larusto01,TSN Manager of the Year,1983,ML,,
lasorto01,BBWAA Manager of the Year,1983,NL,,
andersp01,BBWAA Manager of the Year,1984,AL,,
freyji99,BBWAA Manager of the Year,1984,NL,,
freyji99,TSN Manager of the Year,1984,ML,,
coxbo01,BBWAA Manager of the Year,1985,AL,,
coxbo01,TSN Manager of the Year,1985,ML,,
herzowh01,BBWAA Manager of the Year,1985,NL,,
lanieha01,BBWAA Manager of the Year,1986,NL,,
lanieha01,TSN Manager of the Year,1986,NL,,
mcnamjo99,BBWAA Manager of the Year,1986,AL,,
mcnamjo99,TSN Manager of the Year,1986,AL,,
andersp01,BBWAA Manager of the Year,1987,AL,,
andersp01,TSN Manager of the Year,1987,AL,,
rodgebu01,BBWAA Manager of the Year,1987,NL,,
rodgebu01,TSN Manager of the Year,1987,NL,,
larusto01,BBWAA Manager of the Year,1988,AL,,
larusto01,TSN Manager of the Year,1988,AL,,
lasorto01,BBWAA Manager of the Year,1988,NL,,
