yearID,lgID,total_ER,total_IPouts,league_ERA,DH_state
2012,AL,9212,60855,0.4541286665023416,AL with DH
1992,NL,6823,52502,0.3898708620623976,NL without DH
1980,NL,7029,52589,0.40097739070908367,NL without DH
1958,AL,4617,33072,0.4188134978229318,No DH (Both Leagues)
2015,NL,9436,65140,0.43457169174086585,NL without DH
1989,NL,6823,52602,0.3891296908862781,NL without DH
1995,AL,9428,53928,0.5244770805518469,AL with DH
1987,NL,7890,52137,0.45399620231313653,NL without DH
1957,AL,4682,33380,0.4207908927501498,No DH (Both Leagues)
1977,NL,7617,52545,0.4348843848130174,NL without DH
1953,NL,5219,32915,0.4756797812547471,No DH (Both Leagues)
1960,AL,4768,33249,0.43020842732112247,No DH (Both Leagues)
1998,AL,10446,60584,0.5172652845635811,AL with DH
1977,AL,9153,60672,0.4525810917721519,AL with DH
1968,NL,4870,44043,0.3317212723928888,No DH (Both Leagues)
1974,AL,7028,52346,0.4027814923776411,AL with DH
1948,AL,5223,32929,0.4758419630113274,No DH (Both Leagues)
2016,NL,10056,65086,0.4635098177795532,NL without DH
2007,NL,11460,69742,0.49295976599466607,NL without DH
2017,AL,10517,64892,0.4862078530481415,AL with DH
1976,AL,6837,52405,0.39139395095887797,AL with DH
1965,AL,5587,43618,0.38426796276766473,No DH (Both Leagues)
1996,NL,9520,60867,0.4692197742619153,NL without DH
2019,AL,11127,65072,0.5129856159331202,AL with DH
1961,NL,4939,33080,0.4479141475211608,No DH (Both Leagues)
1997,NL,9468,60767,0.4674247535669031,NL without DH
1955,NL,4928,32953,0.44863897065517555,No DH (Both Leagues)
1963,AL,5869,43655,0.4033214981101821,No DH (Both Leagues)
1973,AL,7389,52190,0.42473653956696683,AL with DH
1985,AL,9305,60552,0.46100871977804203,AL with DH
1975,AL,7272,51821,0.42098763049728877,AL with DH
1984,NL,6956,52274,0.39920419328920687,NL without DH
2010,NL,10326,69265,0.4472388652277485,NL without DH
2021,NL,9937,63797,0.4672790256595138,NL without DH
2003,NL,11006,69331,0.47623718105897794,NL without DH
1986,NL,7232,52413,0.41394310571804704,NL without DH
1967,NL,5470,43748,0.37510286184511293,No DH (Both Leagues)
1952,NL,4572,33083,0.4145935979203821,No DH (Both Leagues)
2002,NL,10563,69315,0.4571737719108418,NL without DH
2022,AL,9302,64676,0.43147380790401385,Universal DH
1952,AL,4564,33535,0.40828984642910393,No DH (Both Leagues)
2011,AL,9202,60850,0.45367296631059983,AL with DH
1978,NL,6896,52000,0.39784615384615385,NL without DH
1955,AL,4853,33080,0.4401148730350665,No DH (Both Leagues)
1982,NL,7034,52630,0.40095002850085504,NL without DH
2020,AL,3825,23338,0.49168737681035224,AL with DH
1986,AL,9397,60610,0.46512126711763735,AL with DH
2023,AL,10262,64733,0.4755843232972363,Universal DH
1954,NL,4987,33065,0.4524724028428852,No DH (Both Leagues)
1982,AL,9224,61005,0.4536021637570691,AL with DH
1995,NL,8394,54168,0.4648870181657067,NL without DH
1965,NL,5758,43929,0.3932254319470054,No DH (Both Leagues)
1997,AL,10261,60595,0.5080122122287317,AL with DH
2000,AL,11014,60423,0.546844744550916,AL with DH
1962,AL,6402,43545,0.44106097140888734,No DH (Both Leagues)
1957,NL,4834,33653,0.4309274061747838,No DH (Both Leagues)
2010,AL,9303,60651,0.46015729336696837,AL with DH
1951,AL,5062,33163,0.4579199710520761,No DH (Both Leagues)
2006,AL,10204,60363,0.5071318522936236,AL with DH
1968,AL,4817,43660,0.3309894640403115,No DH (Both Leagues)
1963,NL,5317,43661,0.36533748654405535,No DH (Both Leagues)
1984,AL,9009,60840,0.4442307692307692,AL with DH
2004,AL,10432,60744,0.5152113789016199,AL with DH
1990,NL,7333,52144,0.4218893832463946,NL without DH
2019,NL,10611,65198,0.48825117334887574,NL without DH
2022,NL,9691,64550,0.45039504260263363,Universal DH
1948,NL,4814,32867,0.4394073082423099,No DH (Both Leagues)
1950,AL,5575,32889,0.5085286874030831,No DH (Both Leagues)
1983,NL,7056,52383,0.4041005669778363,NL without DH
2003,AL,10179,60675,0.5032880098887516,AL with DH
2021,AL,10262,64048,0.48067074693979517,AL with DH
1946,AL,4306,33186,0.38926053154944856,No DH (Both Leagues)
1964,NL,5705,43570,0.3928161579068166,No DH (Both Leagues)
1947,NL,4956,32902,0.45188742325694486,No DH (Both Leagues)
1946,NL,4202,33254,0.37908221567330247,No DH (Both Leagues)
1950,NL,5066,33029,0.46014108813466953,No DH (Both Leagues)
1988,AL,8917,60561,0.44171991875959776,AL with DH
1953,AL,4910,33181,0.44392875440764296,No DH (Both Leagues)
1971,NL,6738,52427,0.385564689949835,No DH (Both Leagues)
1972,AL,5682,49961,0.3411861251776386,No DH (Both Leagues)
2012,NL,10128,69211,0.4390053604195865,NL without DH
1978,AL,8465,60490,0.41982145809224664,AL with DH
1979,AL,9426,60155,0.47008561216856454,AL with DH
2002,AL,10007,60492,0.49628049990081335,AL with DH
1962,NL,6345,43470,0.43788819875776397,No DH (Both Leagues)
1990,AL,8783,60547,0.43518258542950106,AL with DH
2020,NL,3829,23068,0.49796254551760016,NL without DH
1981,AL,5478,40379,0.40699373436687386,AL with DH
2008,NL,11042,69406,0.47727862144483185,NL without DH
1987,AL,10035,60587,0.49688877151864264,AL with DH
1958,NL,4841,33077,0.43906642077576563,No DH (Both Leagues)
1973,NL,7129,52446,0.40779087060977004,NL without DH
2007,AL,10123,60535,0.5016767159494507,AL with DH
1971,AL,6662,51874,0.3852797162354937,No DH (Both Leagues)
2000,NL,11904,69310,0.5152503246284807,NL without DH
1994,NL,6730,43070,0.4687717668911075,NL without DH
1969,NL,6952,52162,0.3998312948123155,No DH (Both Leagues)
1981,NL,4514,34906,0.38795622529078094,NL without DH
2011,NL,9865,69732,0.4244106005850972,NL without DH
2024,NL,9921,64732,0.4597880491874189,Universal DH
2004,NL,11095,69438,0.47934848353927245,NL without DH
1994,AL,7600,42689,0.5340954344210452,AL with DH
2015,AL,9672,65083,0.445830708479941,AL with DH
1999,AL,10868,60230,0.5413249211356467,AL with DH
2014,AL,9251,65396,0.4243837543580647,AL with DH
1969,AL,7055,52510,0.40306608265092364,No DH (Both Leagues)
2016,AL,10104,64833,0.4675396788672435,AL with DH
2008,AL,9788,60667,0.48401931857517266,AL with DH
2009,AL,10006,60520,0.4960013218770654,AL with DH
1993,AL,9741,60667,0.4816951555211235,AL with DH
2023,NL,10476,64529,0.4870368361511878,Universal DH
1970,AL,7208,52341,0.41313692898492577,No DH (Both Leagues)
1972,NL,6451,50390,0.38406429847191903,No DH (Both Leagues)
1975,NL,7044,52351,0.4036599109854635,NL without DH
1966,AL,5532,43478,0.3817102902617416,No DH (Both Leagues)
1949,AL,5103,32823,0.46641074856046066,No DH (Both Leagues)
1980,AL,9133,60995,0.4492007541601771,AL with DH
1992,AL,8921,60987,0.4388312263269221,AL with DH
1983,AL,9185,60843,0.45288693851388,AL with DH
1956,AL,5098,33095,0.46212418794379817,No DH (Both Leagues)
2005,NL,10833,69157,0.4699307373078647,NL without DH
1961,AL,6451,43280,0.44715804066543435,No DH (Both Leagues)
2018,AL,10277,64982,0.47445446431319444,AL with DH
2001,AL,10063,60639,0.49784791965566716,AL with DH
1956,NL,4634,33190,0.41886110274178967,No DH (Both Leagues)
1991,AL,9290,61146,0.4557943283289177,AL with DH
1954,AL,4594,33315,0.41368752814047727,No DH (Both Leagues)
2009,NL,10773,69296,0.46639055645347494,NL without DH
2001,NL,11184,69223,0.4846943934819352,NL without DH
1985,NL,6987,52424,0.39983595299862656,NL without DH
1959,AL,4742,33159,0.4290237944449471,No DH (Both Leagues)
1999,NL,11739,69404,0.5074203215952972,NL without DH
2018,NL,9774,65485,0.4477666641215546,NL without DH
2006,NL,11554,69411,0.49937329818040366,NL without DH
1951,NL,4905,33462,0.43975255513717054,No DH (Both Leagues)
1949,NL,4982,33293,0.44892319706845285,No DH (Both Leagues)
1991,NL,7124,52163,0.40971569886701303,NL without DH
1996,AL,11260,60815,0.5554550686508263,AL with DH
2014,NL,8878,65445,0.4069676827870731,NL without DH
1993,NL,9120,60854,0.44960068360337857,NL without DH
1998,NL,10941,69720,0.4707831325301205,NL without DH
1966,NL,5830,43654,0.40065057039446555,No DH (Both Leagues)
1988,NL,6709,52442,0.383795431142977,NL without DH
1959,NL,4845,33142,0.43856737674250196,No DH (Both Leagues)
1964,AL,5887,43845,0.40280533698255216,No DH (Both Leagues)
1947,AL,4560,33228,0.41170097508125675,No DH (Both Leagues)
2013,NL,9075,65542,0.41538250282261757,NL without DH
2005,AL,9779,60540,0.4845887016848365,AL with DH
2024,AL,9620,64617,0.4466316913505734,Universal DH
2013,AL,9675,65418,0.44368522425020634,AL with DH
1979,NL,7243,52280,0.4156273909716909,NL without DH
1989,AL,8728,60543,0.432486001684753,AL with DH
1967,AL,5241,43805,0.35893162880949664,No DH (Both Leagues)
1960,NL,4649,33361,0.418063007703606,No DH (Both Leagues)
2017,NL,10430,64879,0.48228240262642763,NL without DH
1976,NL,6800,52372,0.38952111815473917,NL without DH
1974,NL,7055,52481,0.4032888092833597,NL without DH
1970,NL,7843,52235,0.45044510385756675,No DH (Both Leagues)
